Subject,Group,TimeNearStimulus,TimeFarStimulus,AbsoluteTurnAngle,Speed
A1,1 vs 1,180.243241711442,459.756758288558,7.6055783610966,8.94114940160635
A2,1 vs 1,458.106451637251,181.893548362749,27.3030102947724,2.01999094972488
A3,1 vs 1,196.269148049003,393.730851950997,29.4047006391671,0.625569161044212
A4,1 vs 1,130.006741577583,499.993258422417,6.49322151530388,2.89828662704801
B1,1 vs 1,251.666130526408,398.333869473592,12.0858464295705,7.83627950702379
A5,1 vs 1,297.872462013954,272.127537986046,26.5412801752267,9.63502144070328
B2,1 vs 1,265.038872993426,324.961127006574,26.1018779787716,0.0385255212722417
B3,1 vs 1,100.721037516116,539.278962483884,14.2116642939021,2.08466555009367
B4,1 vs 1,121.932135949155,518.067864050845,15.2535800753069,0.720961557328565
B5,1 vs 1,103.926106468317,446.073893531683,7.5873185976147,4.34569077662682
A6,1 vs 1,395.647658797461,244.352341202539,14.3053178642436,0.553605951813419
A7,1 vs 1,28.135374131128,541.864625868872,19.9273856948871,7.57385159468334
A8,3 vs 1,467.883883227812,172.116116772188,30.4180007271218,5.69756160515773
B6,3 vs 1,473.409567726883,106.590432273117,9.2050785210427,2.67064790781883
B7,3 vs 1,404.35443786874,215.64556213126,15.1578978909648,6.29040994170476
B8,3 vs 1,450.150425706743,189.849574293257,14.5792901452407,6.70545205706078
A9,3 vs 1,492.782753704884,127.217246295116,6.64459515895281,4.83686876524128
A10,3 vs 1,537.313326316927,52.686673683073,11.665781985986,9.26061618523047
A11,3 vs 1,457.935500911959,182.064499088041,20.9576746210038,9.736187481282
B9,3 vs 1,427.080487415375,222.919512584625,9.05595153717778,6.55923837313792
B10,3 vs 1,495.995658055155,154.004341944845,19.6202721555408,6.45451845094473
A12,3 vs 1,383.67563835079,186.32436164921,20.8008860826877,3.99021700279279
B11,3 vs 1,403.455898465084,176.544101534916,8.94919561810753,6.00924217250794
B12,3 vs 1,408.398778520252,161.601221479748,9.83542429186282,10.2602413204528
